iter	RMSE
0	5.179119863
1	5.089460249
2	4.992968234
3	4.922579071
4	4.839157197
5	4.753277724
6	4.675504301
7	4.590788293
8	4.507252616
9	4.43137011
10	4.353884719
11	4.280989892
12	4.201098854
13	4.137722936
14	4.06135463
15	3.996058569
16	3.939042809
17	3.886714648
18	3.81969722
19	3.751495081
20	3.686415287
21	3.63911888
22	3.583412697
23	3.525898514
24	3.475101805
25	3.41384351
26	3.356377505
27	3.305783456
28	3.253642504
29	3.222435528
30	3.172912066
31	3.121199784
32	3.067172618
33	3.033408276
34	2.993092449
35	2.945401316
36	2.907712267
37	2.875184633
38	2.8365375
39	2.793902739
40	2.75508533
41	2.72096385
42	2.683065264
43	2.6501556
44	2.611294851
45	2.573095225
46	2.558573234
47	2.52637434
48	2.495168009
49	2.469064357
50	2.435390542
51	2.406572592
52	2.379867335
53	2.361423783
54	2.334177715
55	2.304130465
56	2.279289131
57	2.252011776
58	2.227454239
59	2.218686062
60	2.20950361
61	2.184034966
62	2.159213747
63	2.136423179
64	2.114669299
65	2.090793088
66	2.061842621
67	2.042681767
68	2.019311568
69	1.996182321
70	1.973005349
71	1.953725881
72	1.945992472
73	1.928433422
74	1.914387023
75	1.897333881
76	1.88627122
77	1.869214057
78	1.85164663
79	1.830277889
80	1.816825205
81	1.797088226
82	1.786746132
83	1.76391226
84	1.743890063
85	1.731398041
86	1.71628435
87	1.70056695
88	1.681980357
89	1.663648035
90	1.649528663
91	1.635294677
92	1.616930185
93	1.601535071
94	1.595594249
95	1.586722239
96	1.570554628
97	1.557172447
98	1.542544317
99	1.528267264
100	1.510487925
101	1.498921039
102	1.484905509
103	1.472151139
104	1.463555941
105	1.455738368
106	1.445798282
107	1.430465619
108	1.414234417
109	1.406791827
110	1.393719647
111	1.383177182
112	1.375297831
113	1.366391157
114	1.354864784
115	1.342672969
116	1.335862302
117	1.32323267
118	1.31098632
119	1.30619958
120	1.301548373
121	1.295792968
122	1.279990681
123	1.271623793
124	1.26294685
125	1.258053602
126	1.249625995
127	1.235405919
128	1.226623877
129	1.221958028
130	1.217906368
131	1.210713698
132	1.201153324
133	1.197013952
134	1.192206205
135	1.185400185
136	1.178634932
137	1.171664727
138	1.165165134
139	1.15984769
140	1.150901407
141	1.145744117
142	1.141999639
143	1.132823223
144	1.124370404
145	1.117901924
146	1.112796722
147	1.109325706
148	1.101195604
149	1.098079234
150	1.090318087
151	1.083427366
152	1.080456127
153	1.0758036
154	1.064270898
155	1.051496598
156	1.044413263
157	1.035014916
158	1.028788215
159	1.019755062
160	1.017023512
161	1.013045708
162	1.008985948
163	1.006356629
164	0.9968789279
165	0.9943570521
166	0.9853460251
167	0.9773349278
168	0.9748986021
169	0.9714112927
170	0.9684125872
171	0.9612843907
172	0.9527995226
173	0.9504906988
174	0.9411212098
175	0.935609725
176	0.9291276288
177	0.9269816552
178	0.9248398451
