iter	Passed	Remaining
0	128	128853
1	133	66847
2	138	45975
3	140	34946
4	143	28505
5	147	24354
6	150	21407
7	155	19322
8	159	17600
9	163	16213
10	167	15080
11	172	14219
12	176	13421
13	183	12895
14	186	12272
15	190	11693
16	193	11208
17	198	10836
18	201	10394
19	203	9982
20	207	9672
21	211	9409
22	214	9120
23	218	8881
24	221	8657
25	226	8494
26	230	8298
27	233	8113
28	237	7948
29	241	7795
30	244	7650
31	247	7501
32	251	7371
33	254	7240
34	258	7124
35	261	7005
36	263	6859
37	265	6717
38	270	6660
39	273	6572
40	277	6479
41	280	6394
42	282	6294
43	284	6189
44	287	6091
45	289	5996
46	289	5878
47	293	5812
48	295	5744
49	297	5659
50	299	5580
51	302	5513
52	305	5449
53	312	5480
54	317	5453
55	321	5424
56	326	5409
57	333	5411
58	340	5438
59	345	5413
60	348	5366
61	356	5398
62	361	5373
63	365	5346
64	370	5335
65	375	5319
66	381	5306
67	387	5310
68	390	5271
69	394	5246
70	401	5249
71	403	5200
72	407	5169
73	413	5175
74	418	5155
75	421	5125
76	423	5073
77	430	5083
78	433	5051
79	437	5028
80	443	5035
81	448	5017
82	449	4968
83	453	4943
84	460	4952
85	463	4929
86	466	4897
87	473	4903
88	477	4883
89	481	4863
90	486	4863
91	490	4836
92	494	4818
93	498	4807
94	504	4801
95	506	4768
96	509	4747
97	514	4735
98	519	4727
99	523	4710
100	529	4711
101	533	4693
102	535	4665
103	539	4647
104	543	4636
105	545	4604
106	549	4586
107	552	4565
108	558	4561
109	559	4529
110	563	4514
111	566	4494
112	571	4484
113	575	4469
114	578	4452
115	581	4433
116	588	4437
117	591	4423
118	595	4405
119	598	4387
120	603	4385
121	606	4365
122	609	4347
123	613	4333
124	618	4327
125	619	4300
126	623	4285
127	626	4268
128	631	4266
129	633	4239
130	637	4227
131	640	4213
132	646	4215
133	649	4196
134	651	4175
135	655	4161
136	657	4140
137	662	4135
138	665	4121
139	667	4098
140	670	4085
141	673	4066
142	676	4051
143	679	4038
144	682	4026
145	687	4019
146	691	4013
147	694	3998
148	698	3991
149	700	3969
150	706	3974
151	710	3965
152	712	3944
153	713	3921
154	720	3925
155	723	3916
156	727	3905
157	731	3898
158	734	3886
159	738	3879
160	741	3861
161	742	3840
162	744	3822
163	748	3815
164	752	3807
165	754	3789
166	757	3778
167	762	3775
168	766	3769
169	767	3749
170	771	3739
171	775	3734
172	779	3728
173	783	3720
174	787	3710
175	793	3712
176	795	3700
177	797	3683
178	799	3668
179	803	3660
180	808	3657
181	811	3648
182	815	3639
183	817	3625
184	823	3628
185	827	3622
186	831	3614
187	837	3617
188	838	3600
189	842	3590
190	845	3582
191	849	3576
192	852	3565
193	856	3556
194	859	3547
195	863	3542
196	866	3532
197	870	3527
198	874	3518
199	880	3521
200	884	3516
201	887	3504
202	890	3496
203	896	3496
204	899	3489
205	903	3480
206	904	3464
207	908	3457
208	910	3447
209	915	3442
210	917	3431
211	923	3432
212	927	3425
213	930	3418
214	934	3410
215	939	3408
216	942	3400
217	945	3392
218	949	3384
219	953	3379
220	956	3371
221	959	3363
222	963	3356
223	967	3350
224	971	3345
225	974	3337
226	977	3330
227	981	3323
228	985	3318
229	988	3310
230	992	3303
231	994	3290
232	997	3285
233	1001	3277
234	1003	3267
235	1005	3254
236	1008	3247
237	1014	3246
238	1017	3239
239	1020	3232
240	1022	3220
241	1025	3213
242	1029	3207
243	1032	3200
244	1036	3193
245	1039	3185
246	1043	3182
247	1047	3175
248	1050	3167
249	1053	3161
250	1058	3158
251	1061	3152
252	1065	3145
253	1069	3140
254	1074	3139
255	1078	3133
256	1081	3127
257	1085	3121
258	1089	3118
259	1093	3111
260	1096	3104
261	1100	3100
262	1104	3094
263	1107	3088
264	1111	3082
265	1114	3076
266	1119	3072
267	1122	3066
268	1126	3060
269	1129	3053
270	1132	3046
271	1135	3040
272	1139	3033
273	1142	3027
274	1146	3023
275	1150	3017
276	1153	3011
277	1157	3005
278	1162	3002
279	1165	2997
280	1168	2990
281	1172	2984
282	1176	2980
283	1179	2974
284	1183	2968
285	1186	2962
286	1190	2957
287	1194	2952
288	1197	2947
289	1201	2941
290	1205	2936
291	1209	2931
292	1212	2925
293	1215	2919
294	1219	2914
295	1223	2910
296	1227	2904
297	1230	2899
298	1234	2893
299	1238	2889
300	1241	2883
301	1245	2878
302	1249	2873
303	1255	2873
304	1259	2868
305	1262	2863
306	1267	2861
307	1271	2855
308	1274	2849
309	1278	2845
310	1282	2840
311	1285	2834
312	1288	2828
313	1292	2824
314	1297	2821
315	1300	2815
316	1304	2809
317	1307	2804
318	1311	2799
319	1314	2794
320	1318	2788
321	1321	2782
322	1325	2778
323	1328	2772
324	1332	2766
325	1335	2761
326	1340	2759
327	1343	2753
328	1346	2747
329	1350	2741
330	1354	2737
331	1357	2731
332	1361	2726
333	1364	2720
334	1368	2717
335	1372	2711
336	1375	2706
337	1378	2700
338	1383	2696
339	1386	2692
340	1390	2686
341	1393	2681
342	1397	2677
343	1401	2672
344	1404	2666
345	1407	2660
346	1411	2655
347	1414	2650
348	1417	2644
349	1421	2639
350	1424	2633
351	1429	2631
352	1432	2625
353	1436	2622
354	1441	2619
355	1445	2614
356	1448	2609
357	1452	2604
358	1456	2601
359	1460	2596
360	1463	2590
361	1467	2585
362	1471	2582
363	1475	2577
364	1478	2572
365	1482	2567
366	1487	2565
367	1490	2560
368	1493	2554
369	1497	2549
370	1501	2546
371	1505	2541
372	1508	2535
373	1512	2530
374	1516	2527
375	1519	2521
376	1523	2517
377	1526	2512
378	1530	2508
379	1534	2503
380	1537	2498
381	1541	2493
382	1545	2489
383	1548	2484
384	1552	2479
385	1555	2474
386	1559	2469
387	1563	2465
388	1566	2460
389	1569	2455
390	1573	2450
391	1577	2447
392	1581	2442
393	1584	2437
394	1587	2431
395	1592	2428
396	1595	2423
397	1598	2418
398	1602	2413
399	1607	2410
400	1610	2406
401	1613	2400
402	1617	2395
403	1623	2395
404	1627	2390
405	1630	2385
406	1634	2380
407	1637	2376
408	1640	2371
409	1644	2366
410	1647	2361
411	1652	2357
412	1655	2352
413	1658	2347
414	1661	2342
415	1666	2339
416	1669	2334
417	1672	2329
418	1676	2324
419	1679	2319
420	1683	2315
421	1686	2310
422	1689	2305
423	1693	2299
424	1697	2296
425	1700	2291
426	1703	2285
427	1706	2280
428	1710	2276
429	1713	2271
430	1716	2266
431	1720	2261
432	1723	2256
433	1727	2253
434	1730	2248
435	1734	2243
436	1737	2238
437	1742	2235
438	1745	2230
439	1748	2225
440	1751	2220
441	1756	2216
442	1759	2212
443	1762	2207
444	1766	2202
445	1769	2197
446	1773	2193
447	1776	2188
448	1779	2183
449	1782	2178
450	1786	2175
451	1789	2170
452	1793	2165
453	1796	2160
454	1800	2156
455	1803	2151
456	1807	2147
457	1811	2143
458	1817	2141
459	1820	2137
460	1824	2132
461	1828	2128
462	1833	2126
463	1836	2121
464	1839	2116
465	1843	2112
466	1848	2109
467	1851	2104
468	1854	2100
469	1858	2095
470	1862	2092
471	1866	2087
472	1869	2083
473	1874	2079
474	1877	2075
475	1881	2071
476	1885	2066
477	1889	2063
478	1893	2059
479	1896	2054
480	1900	2050
481	1904	2046
482	1907	2041
483	1910	2037
484	1914	2032
485	1918	2028
486	1922	2024
487	1925	2020
488	1929	2015
489	1933	2012
490	1937	2008
491	1940	2003
492	1944	1999
493	1948	1995
494	1952	1991
495	1955	1987
496	1959	1982
497	1962	1978
498	1966	1974
499	1969	1969
500	1973	1965
501	1977	1961
502	1980	1957
503	1984	1952
504	1989	1950
505	1994	1947
506	1997	1942
507	2000	1937
508	2004	1933
509	2008	1929
510	2011	1924
511	2014	1920
512	2018	1916
513	2022	1912
514	2026	1908
515	2029	1903
516	2032	1899
517	2037	1895
518	2040	1890
519	2043	1886
520	2047	1882
521	2052	1879
522	2055	1874
523	2058	1870
524	2061	1865
525	2065	1861
526	2069	1857
527	2072	1852
528	2075	1847
529	2078	1843
530	2082	1839
531	2086	1835
532	2089	1830
533	2092	1826
534	2096	1822
535	2100	1817
536	2103	1813
537	2106	1809
538	2111	1806
539	2115	1802
540	2119	1798
541	2122	1793
542	2127	1790
543	2131	1786
544	2134	1781
545	2137	1777
546	2141	1773
547	2145	1769
548	2148	1765
549	2151	1760
550	2155	1756
551	2159	1752
552	2162	1747
553	2165	1743
554	2169	1739
555	2173	1735
556	2176	1730
557	2180	1726
558	2186	1725
559	2190	1720
560	2193	1716
561	2197	1712
562	2202	1709
563	2206	1705
564	2209	1701
565	2213	1697
566	2217	1693
567	2220	1689
568	2224	1684
569	2228	1680
570	2231	1676
571	2235	1672
572	2238	1668
573	2242	1664
574	2246	1660
575	2249	1655
576	2252	1651
577	2256	1647
578	2260	1643
579	2263	1639
580	2267	1635
581	2270	1630
582	2275	1627
583	2278	1622
584	2281	1618
585	2285	1614
586	2289	1610
587	2293	1606
588	2296	1602
589	2299	1598
590	2304	1594
591	2307	1590
592	2311	1586
593	2314	1582
594	2318	1578
595	2322	1574
596	2325	1570
597	2329	1566
598	2335	1563
599	2338	1559
600	2342	1555
601	2345	1550
602	2350	1547
603	2353	1543
604	2357	1539
605	2360	1534
606	2367	1532
607	2370	1528
608	2374	1524
609	2379	1521
610	2383	1517
611	2387	1513
612	2390	1509
613	2396	1506
